Tarih,tuketici_kredisi_faizi,1_aylik_mevduat_faizi,3_aylik_mevduat_faizi,usd_mevduat_faizi,eur_mevduat_faizi,tuketici_fiyat_endeksi,ito_gecinme_endeksi,reel_kesim_guven_endeksi,istihdam_orani,issizlik_orani,konut_fiyat_endeksi,toplam_sifir_konut_satisi,toplam_ikinciel_konut_satisi,resmi_rezerv_varliklari,toplam_binek_otomobil_uretimi,usd_try,eur_try,gbp_try,tuketici_fiyat_endeksi_aylik_degisim,konut_fiyat_endeksi_aylik_degisim,usd_try_aylik_degisim,eur_try_aylik_degisim,gbp_try_aylik_degisim,tuketici_fiyat_endeksi_yillik_degisim,konut_fiyat_endeksi_yillik_degisim,Ekonomi_KÃ¼me
2020-01-01,14.606,9.312,10.2,1.368,0.1679999999999999,446.45,22278.1,104.1,43.5,14.1,120.9,36040.0,77575.0,102467.0,75396.0,5.918159090909091,6.5750590909090905,7.72295,,,,,,,,2
2020-02-01,13.835,8.9775,9.8775,1.1675,0.1425,448.02,22530.4,106.9,43.6,13.5,123.7,37303.0,81450.0,107724.0,87589.0,6.04447,6.5939000000000005,7.831265,0.3516631201702314,2.3159636062861866,2.1342939104988856,0.2865511751363625,1.4025081089479974,,,2
2020-03-01,14.04,8.9725,10.085,0.955,0.13,450.58,22604.2,99.7,41.9,13.0,125.4,34089.0,74581.0,92145.0,72093.0,6.314431818181817,6.988740909090908,7.81800909090909,0.571403062363296,1.3742926434923142,4.466261197124277,5.987972354614235,-0.16926906560957855,,,2
2020-04-01,12.065,8.7625,10.0575,1.095,0.1725,454.43,22838.6,66.8,40.3,12.8,127.5,14848.0,27935.0,86343.0,9661.0,6.818952380952381,7.416766666666668,8.449204761904761,0.8544542589551396,1.674641148325362,7.989959782570533,6.1245045873568715,8.073611371591216,,,2
2020-05-01,10.682,7.326,8.306000000000001,0.754,0.182,460.62,23332.7,76.9,41.0,12.6,135.9,16860.0,34076.0,90914.0,43264.0,6.951947058823529,7.559517647058823,8.543576470588235,1.362145985080221,6.58823529411765,1.950368186213569,1.9247063687971133,1.1169300702590368,,,2
2020-06-01,11.3975,6.9975,8.120000000000001,0.7625,0.2175,465.84,23348.3,92.6,43.0,13.0,139.5,58632.0,131380.0,86345.0,74264.0,6.808831818181818,7.662422727272727,8.515795454545454,1.133255177803827,2.6490066225165476,-2.0586353640318134,1.3612651629160588,-0.3251684600520388,,,2
2020-07-01,11.006,6.946000000000001,8.158,0.768,0.2299999999999999,468.56,23450.1,100.7,43.0,14.6,141.4,67937.0,161420.0,90254.0,77706.0,6.851095238095238,7.82097619047619,8.622442857142858,0.5838914648806481,1.3620071684587787,0.6207146988204792,2.0692340901413253,1.2523481002644221,,,2
2020-08-01,14.3925,8.285,10.2825,0.9775,0.3575,472.61,23589.1,106.2,43.8,13.0,144.4,52123.0,118285.0,83750.0,45211.0,7.252190000000001,8.575790000000001,9.499045,0.8643503500085359,2.121640735502117,5.854461921277809,9.651145728367872,10.166517278000441,,,2
2020-09-01,17.2725,9.5525,11.78,1.2375,0.4549999999999999,477.21,23934.8,105.3,44.0,12.4,146.7,41376.0,95368.0,79680.0,90447.0,7.507781818181818,8.86075,9.738486363636364,0.9733183809060186,1.5927977839335083,3.5243397950387,3.322842560277217,2.5206888022571095,,,2
2020-10-01,18.454,10.42,12.288,1.332,0.548,487.38,24521.4,108.1,43.6,12.8,149.9,36976.0,82598.0,84526.0,95915.0,7.873880952380952,9.273704761904762,10.198980952380952,2.131137235179481,2.1813224267212217,4.8762622977740255,4.660494449169228,4.728605365861371,,,2
2020-11-01,19.865,12.64,14.0125,1.47,0.65,498.58,24997.1,103.9,42.4,12.9,152.2,36658.0,75825.0,82694.0,91067.0,8.00332380952381,9.4572,10.532980952380951,2.298001559358198,1.534356237491652,1.6439524286142149,1.9786616331481044,3.2748369818459855,,,2
2020-12-01,21.915,14.64,16.052500000000002,1.4925,0.7375,504.81,25337.7,106.8,41.7,13.0,154.9,36898.0,69083.0,93589.0,92300.0,7.721065217391304,9.38417391304348,10.346430434782608,1.2495487183601384,1.7739816031537625,-3.5267671138911383,-0.7721745015070058,-1.771108468169913,,,2
2021-01-01,22.116,15.664,17.526,1.486,0.704,513.3,25632.0,107.0,42.9,13.4,157.7,22268.0,48319.0,95675.0,68777.0,7.393975,9.00809,10.066385,1.6818208831045345,1.8076178179470492,-4.236335378369171,-4.007640060045614,-2.7066864900686105,14.973681263299365,30.438378825475574,2
2021-02-01,21.725,15.5425,17.287499999999998,1.1275,0.4325,517.96,26012.0,109.3,42.9,14.1,161.7,24737.0,56485.0,95309.0,68105.0,7.0723650000000005,8.556185,9.77764,0.9078511591662064,2.5364616360177505,-4.349622496694938,-5.016657249205991,-2.8684080730073447,15.610910227222007,30.71948261924009,2
2021-03-01,21.725,16.3175,17.6625,1.06,0.4125,523.53,26305.1,110.8,44.0,13.1,165.5,33365.0,77876.0,86689.0,74995.0,7.628234782608695,9.091334782608696,10.55907391304348,1.0753726156459864,2.3500309214594894,7.859743983924683,6.254537303818197,7.992050362290692,16.190243685915927,31.97767145135566,2
2021-04-01,23.014,17.174,18.84,1.152,0.44,532.32,26570.7,111.0,44.2,12.9,168.8,29212.0,66651.0,87969.0,76334.0,8.155023809523808,9.733895238095238,11.262157142857143,1.678986877542843,1.9939577039274958,6.9057788849933965,7.067834051340083,6.658569071527709,17.140153599014152,32.392156862745104,2
2021-05-01,23.0275,17.3975,18.7875,1.1075,0.44,537.05,27015.4,110.3,43.8,12.4,175.4,18204.0,40962.0,92033.0,66976.0,8.34225,10.130661111111111,11.711883333333333,0.8885632702133828,3.90995260663507,2.295838673794437,4.076126394529744,3.9932508912062348,16.592853111024255,29.065489330389994,2
2021-06-01,22.3425,17.375,18.85,1.0750000000000002,0.42,547.48,27113.1,113.0,45.9,10.4,180.3,40092.0,94639.0,97692.0,62441.0,8.59668181818182,10.371213636363636,12.05358181818182,1.9420910529746038,2.793614595210947,3.0499184054879613,2.3744997746365515,2.917536617496652,17.525330585608813,29.24731182795699,2
2021-07-01,22.152,17.322,18.8,0.904,0.344,557.36,27525.9,114.8,45.8,12.1,185.4,32672.0,75113.0,105760.0,33529.0,8.612941176470589,10.192188235294118,11.890870588235297,1.8046321326806503,2.828618968386021,0.1891352807123825,-1.7261760035664264,-1.349899410821498,18.951681748335325,31.117397454031128,2
2021-08-01,22.1075,17.4425,18.91,0.7725,0.26,563.6,28044.3,113.9,46.2,12.0,192.7,42639.0,98761.0,117756.0,59539.0,8.475714285714286,9.97830476190476,11.686966666666669,1.1195636572412848,3.9374325782092656,-1.5932639959412298,-2.098503956674491,-1.7147938837242749,19.25266075622607,33.448753462603875,2
2021-09-01,22.3125,17.48,19.035,0.6325000000000001,0.2225,570.66,28667.7,113.4,47.2,11.1,198.9,43967.0,103176.0,121256.0,59335.0,8.511881818181818,10.028577272727274,11.686468181818183,1.2526614620298027,3.2174364296834623,0.4267195807731827,0.5038181537052822,-0.004265305640915873,19.582573709687566,35.58282208588959,2
2021-10-01,22.214,16.432,17.802,0.5660000000000001,0.19,584.32,29611.7,109.6,47.2,10.7,210.2,41914.0,95487.0,123926.0,64637.0,9.139945,10.601325,12.475785,2.3937195527985233,5.681246857717448,7.378664262896684,5.711156345479962,6.754109161995037,19.890024211087876,40.226817878585706,2
2021-11-01,21.99,14.95,16.2025,0.55,0.1875,604.84,31007.8,108.4,46.4,10.9,229.2,55706.0,123108.0,125587.0,70974.0,10.523263636363636,12.011395454545454,14.1544,3.5117743702081095,9.039010466222642,15.134868277255876,13.30088884687013,13.45498499693607,21.31252757832245,50.591327201051264,2
2021-12-01,24.154000000000003,16.01,17.44,0.62,0.224,686.95,33998.8,106.1,46.0,11.3,247.4,76747.0,149756.0,111181.0,76570.0,13.528495652173913,15.289578260869565,17.960047826086956,13.575491038952459,7.940663176265272,28.55798466766104,27.292272731588007,26.88667711868362,36.08090172540164,59.715945771465464,2
2022-01-01,28.705,16.9675,19.2675,0.6475,0.2625,763.23,38682.3,109.5,46.7,11.2,279.9,27203.0,61103.0,109717.0,47778.0,13.519261904761905,15.314795238095238,18.30352380952381,11.104156052114412,13.136620856911874,-0.06825405905735993,0.16492918768211684,1.9124447037270897,48.69082407948571,77.48890298034242,2
2022-02-01,27.35,16.09,18.11,0.6975,0.2975,799.93,40401.4,109.8,46.6,10.6,318.0,28897.0,68690.0,110503.0,61544.0,13.621125,15.44385,18.4121,4.808511195838738,13.61200428724545,0.7534663945094167,0.8426802963956037,0.5931982912475764,54.43856668468605,96.6604823747681,2
2022-03-01,26.3925,15.0925,17.135,0.8475,0.3725,843.64,42942.3,108.5,46.7,11.1,347.7,38337.0,95833.0,105918.0,57041.0,14.565608695652177,16.054017391304345,19.169439130434785,5.464228119960501,9.339622641509425,6.933962471177502,3.950876182456753,4.11326861376371,61.144538039844896,110.0906344410876,0
2022-04-01,25.416,14.984,17.084,1.048,0.492,904.79,47819.9,109.7,47.3,10.9,383.0,36421.0,96637.0,106858.0,62837.0,14.683566666666666,15.93217619047619,19.02198095238095,7.248352377791467,10.152430255967793,0.8098389396503425,-0.7589452400503238,-0.7692357457643073,69.9710700330628,126.89573459715638,0
2022-05-01,26.4875,14.975,16.99,1.18,0.5975,931.76,50612.3,109.4,47.7,10.9,431.1,32861.0,89907.0,101692.0,67162.0,15.62392222222222,16.528583333333334,19.398861111111117,2.980802175090358,12.558746736292425,6.404135840444436,3.743412925684697,1.9812876465055806,73.49595009775626,145.78107183580386,0
2022-06-01,27.27,15.6225,18.225,1.785,0.905,977.9,52651.3,106.4,47.7,10.2,470.0,44732.0,105777.0,98343.0,86585.0,16.96471818181818,17.959236363636364,20.91035909090909,4.951918949085599,9.02342843887729,8.581686087050034,8.655630077006183,7.791684115580533,78.61839701906919,160.67665002773154,0
2022-07-01,31.43,16.601999999999997,19.792,2.42,1.176,1001.03,54805.7,103.7,47.0,10.2,507.8,28688.0,65214.0,101257.0,50795.0,17.387416666666667,17.772877777777776,20.843155555555555,2.365272522752848,8.042553191489365,2.4916328129842347,-1.0376754450201697,-0.32138871963586224,79.6020525333716,173.8942826321467,0
2022-08-01,31.4125,16.23,19.205,2.575,1.1425,1015.65,56063.3,102.1,47.8,9.9,548.2,39025.0,84466.0,111222.0,62560.0,17.99495,18.25220909090909,21.607022727272728,1.4604956894398669,7.95588814493895,3.4940977430996556,2.6969819920251936,3.6648345769005664,80.20759403832504,184.48365334717184,0
2022-09-01,30.878,15.026,18.782,2.9240000000000004,1.088,1046.89,59462.2,99.9,47.7,10.1,575.0,35954.0,77448.0,107042.0,74704.0,18.281477272727276,18.12869545454545,20.72597272727273,3.0758627479939182,4.8887267420649305,1.5922649005819745,-0.6767051360657361,-4.07760944726514,83.45249360389727,189.0899949723479,0
2022-10-01,30.25,14.615,19.22,2.9,1.0175,1084.0,61819.6,100.3,47.8,10.3,605.8,32692.0,69968.0,113476.0,62363.0,18.564614285714285,18.249766666666662,20.887614285714285,3.5447850299458405,5.356521739130438,1.5487644065252715,0.6678429367671601,0.7798985387491797,85.51478641840087,188.20171265461462,0
2022-11-01,29.665,14.5275,21.130000000000003,2.69,0.955,1115.26,63736.2,97.9,48.5,10.2,629.2,37380.0,80426.0,122357.0,83999.0,18.590895454545457,18.920454545454547,21.74783181818182,2.8837638376383756,3.86266094420602,0.14156592982055294,3.675049062478708,4.118313947686514,84.38925996957872,174.52006980802796,0
2022-12-01,29.006,15.246,22.964,2.556,0.914,1128.45,65608.6,97.8,48.4,10.3,662.7,77889.0,130074.0,128736.0,93521.0,18.636968181818183,19.70469090909091,22.645277272727277,1.1826838584724664,5.324221233312132,0.24782414265829278,4.144912912912924,4.1265973640423725,64.26959749617876,167.86580436540018,0
2023-01-01,29.0525,15.795,24.4825,2.4375,0.8125,1203.48,69503.0,101.7,48.6,9.7,708.5,27532.0,70176.0,125340.0,70723.0,18.757572727272727,20.195713636363635,22.855554545454545,6.648943240728422,6.911121170967238,0.6471253493484097,2.4919077875318996,0.9285700951894071,57.682481034550534,153.12611647016791,0
2023-02-01,28.69,16.505,26.755,2.345,0.5975,1241.33,72167.0,102.4,47.8,9.9,768.1,23476.0,56555.0,117406.0,63751.0,18.82331,20.193965,22.748675,3.1450460331704733,8.4121383203952,0.3504572456312083,-0.008658452952547968,-0.4676305063698538,55.179828234970564,141.54088050314465,0
2023-03-01,26.672000000000004,17.072,28.096,2.256,0.614,1269.75,74296.6,105.2,47.9,10.1,809.6,32899.0,72577.0,122416.0,87577.0,18.96930869565217,20.288852173913043,22.96433478260869,2.2894798321155596,5.402942325218074,0.7756271115556768,0.4698788668448417,0.9480103021766828,50.50851073917786,132.84440609721025,0
2023-04-01,29.2275,18.4825,28.3425,1.9025,0.6325,1300.04,77690.2,108.0,48.2,10.1,847.4,26952.0,58700.0,114877.0,73637.0,19.30225263157895,21.148910526315788,23.976205263157897,2.385508958456395,4.668972332015797,1.7551716895360059,4.2390685536591866,4.406269504986993,43.68416980735861,121.25326370757179,0
2023-05-01,32.0225,21.0825,31.4625,2.29,0.6725,1300.6,78978.8,108.3,48.6,9.5,878.0,34413.0,78863.0,97080.0,90739.0,19.684047619047615,21.42548095238095,24.53802857142857,0.04307559767391389,3.6110455510974804,1.9779815069047357,1.307728952378051,2.3432536638063217,39.5853009358633,103.66504291347715,0
2023-06-01,38.56,27.286,39.592,2.472,0.972,1351.59,81709.5,108.2,47.9,9.3,921.0,25886.0,57750.0,108580.0,75974.0,23.06448947368421,24.94428421052632,29.02302105263158,3.920498231585423,4.897494305239181,17.17350983933532,16.423450497872416,18.27772132609389,38.21351876469987,95.95744680851064,0
2023-07-01,45.825,25.685,33.125,2.76,0.9725,1479.84,89750.5,106.8,48.5,9.3,988.7,31641.0,77907.0,111623.0,88214.0,26.4227380952381,29.204085714285718,33.96104761904762,9.488824273633266,7.3507057546145615,14.560255605854788,17.077264946980474,17.01417146568309,47.83173331468586,94.7026388341867,1
2023-08-01,45.765,23.485,29.4125,2.8,1.0525,1614.31,97643.6,105.0,48.5,9.2,1043.1,35310.0,86781.0,116647.0,49300.0,26.950577272727276,29.4287,34.21507727272728,9.086793166828855,5.50217457267117,1.9976702474461039,0.7691193893613502,0.7480029960476919,58.943533697632056,90.27727106895291,1
2023-09-01,56.35,29.678,41.656,2.596,0.936,1691.04,102977.9,104.4,48.3,9.1,1087.9,30488.0,72168.0,122196.0,87902.0,26.94091904761905,28.82047142857143,33.40775714285714,4.753114333678177,4.294890231042103,-0.03583680234560127,-2.0667870868525284,-2.359544955678494,61.52986464671548,89.20000000000002,1
2023-10-01,59.3925,34.182500000000005,43.8925,2.8375,1.1175,1749.11,106782.1,103.3,48.5,8.5,1129.5,29230.0,64531.0,126185.0,91511.0,27.796031818181817,29.35675,33.77461363636364,3.433981455199153,3.8238808714036177,3.1740296945747204,1.860755722742713,1.0981176974490081,61.35701107011069,86.44767249917467,1
2023-11-01,58.655,37.4025,45.665,2.855,1.235,1806.5,110832.3,100.2,48.3,9.0,1150.0,30472.0,63042.0,136680.0,96922.0,28.585586363636363,30.84694545454545,35.35689545454545,3.2810972437411046,1.814962372731288,2.8405297224407544,5.076159501802646,4.68482581390135,61.980166059932216,82.77177368086457,1
2023-12-01,59.25599999999999,42.344,51.418000000000006,2.7960000000000003,1.316,1859.38,114738.1,99.1,49.2,8.8,1163.3,51243.0,87334.0,140884.0,76416.0,29.022561904761904,31.657842857142857,36.66204285714286,2.9272073069471327,1.1565217391304339,1.5286569096984337,2.6287769847173514,3.691351816437871,64.77291860516638,75.53945978572504,1
2024-01-01,61.0825,44.205,50.4825,2.5425,1.235,1984.02,122445.2,100.9,48.7,9.1,1190.1,25263.0,55045.0,133858.0,67059.0,29.9997,32.75426818181818,38.05379545454545,6.703309705385663,2.303790939568473,3.3668223310009404,3.463360815905814,3.7961676135334077,64.85691494665468,67.97459421312631,1
2024-02-01,59.4925,43.995,51.46,2.06,0.96,2073.88,127429.5,101.5,49.7,8.6,1215.8,28594.0,65308.0,128490.0,83955.0,30.70415238095238,33.13708095238095,38.71852380952381,4.529188213828506,2.1594823964372845,2.3481980851554507,1.1687416383042937,1.7468122352535476,67.0691919151233,58.28668142168987,1
2024-03-01,69.56800000000001,47.47,57.272000000000006,2.018,0.994,2139.47,132432.7,104.4,49.5,8.7,1230.1,34399.0,70995.0,123119.0,87260.0,31.929219047619046,34.71372857142857,40.51578571428571,3.162670935637535,1.176180292811324,3.989905506809066,4.757955660950675,4.641865773611498,68.49537310494189,51.939229249011845,1
2024-04-01,79.1475,55.4025,67.5675,1.91,0.99,2207.5,138914.3,106.1,49.3,8.6,1257.6,24085.0,51484.0,124290.0,61835.0,32.27132777777778,34.63321111111111,40.368566666666666,3.179759473140553,2.2355906023900474,1.0714597486662925,-0.23194702393256605,-0.363362193336747,69.80246761638105,48.406891668633456,1
2024-05-01,74.158,56.176,64.538,1.986,1.122,2281.85,143900.5,105.4,50.2,8.4,1273.5,35558.0,75030.0,143648.0,91823.0,32.18989545454545,34.78243181818181,40.57857727272727,3.36806342015854,1.2643129770992356,-0.25233645108461156,0.4308601549881441,0.5202330015695589,75.44594802398893,45.04555808656037,1
2024-06-01,72.61,55.3275,59.695,2.205,1.295,2319.29,148822.9,102.8,49.0,9.2,516.1547169811321,25425.0,53888.0,142910.0,68811.0,32.46274705882353,34.98173529411765,41.22525882352941,1.6407739334312055,-59.46959426924758,0.8476312222367,0.5730004071528239,1.5936525976645521,71.59715594226061,-43.957142564480776,1
2024-07-01,73.85,54.6025,59.3825,1.85,1.3025,2394.1,155084.9,100.3,49.2,8.9,516.1547169811321,40784.0,86304.0,147850.0,81434.0,32.83532727272728,35.57654090909091,42.09440454545455,3.2255560969089547,0.0,1.1477162213925363,1.7003319302838493,2.108284451640796,61.78100335171371,-47.79460736511256,1
2024-08-01,70.97,53.99400000000001,59.044,1.552,1.01,2453.34,157764.7,98.5,49.7,8.5,516.1547169811321,41913.0,92242.0,149373.0,29398.0,33.56078095238095,36.90665714285714,43.24031428571429,2.474416273338642,0.0,2.209369419796303,3.7387452511616903,2.7222376765595024,51.974527816838176,-50.51723545382685,1
2024-09-01,68.61749999999999,54.42,59.697500000000005,1.2825,0.77,2526.16,163921.5,98.8,49.5,8.7,516.1547169811321,44858.0,96061.0,152067.0,85573.0,33.969271428571425,37.715176190476186,44.781885714285714,2.9681984559824404,0.0,1.2171661820685076,2.1907133027232906,3.5651254021544565,49.38499384993848,-52.554948342574505,1
2024-10-01,67.0275,54.62,59.515,1.2799999999999998,0.8125,2598.91,169895.3,100.9,49.6,8.8,516.1547169811321,57679.0,107459.0,159821.0,85155.0,34.17101818181818,37.33355454545455,44.62622727272728,2.8798650916806556,0.0,0.5939095681547713,-1.011851682978493,-0.3475924228639182,48.58470879475847,-54.302371227876755,1
2024-11-01,66.038,54.714,59.088,1.248,0.788,2657.23,175104.1,100.4,49.6,8.5,516.1547169811321,49274.0,103740.0,157738.0,80058.0,34.364714285714285,36.572628571428574,43.770176190476185,2.2440176843369075,0.0,0.5668432320789618,-2.038182496390817,-1.9182689968825883,47.0927207306947,-55.11698113207547,1
2024-12-01,65.175,54.7075,59.3475,1.285,0.77,2684.55,178157.5,99.1,49.5,8.5,516.1547169811321,76629.0,136008.0,155156.0,82152.0,34.903822727272726,36.57701363636364,44.08464545454546,1.0281383244958198,0.0,1.568784879385876,0.011990018509333566,0.7184555591021269,44.37877141842981,-55.630128343408224,1
2025-01-01,65.288,52.504,54.720000000000006,1.61,0.98,2819.65,188269.2,100.9,49.2,8.4,516.1547169811321,32785.0,79388.0,165974.0,67795.0,35.45595909090909,36.71676818181818,43.71945,5.032500791566563,0.0,1.5818793487194283,0.3820829848055318,-0.8283960339932839,42.11802300380037,-56.62929863195261,1
2025-02-01,61.53,50.045,52.1,1.92,1.2,2883.75,192331.3,102.4,48.0,8.7,516.1547169811321,33784.0,79034.0,165417.0,74453.0,36.09402,37.58107,45.13024,2.273331796499556,0.0,1.7995872215864184,2.353970300168773,3.2269161666032,39.05095762532065,-57.54608348567757,1
2025-03-01,62.5,48.89,51.2325,2.0175,1.28,2954.69,197807.2,104.1,48.3,8.0,516.1547169811321,33307.0,77488.0,156511.0,79423.0,36.970675,39.870595,47.56561,2.4599913307325583,0.0,2.4288095368706575,6.092229412307848,5.396315197969259,38.103829453088856,-58.03961328500673,1
2025-04-01,66.725,52.1275,55.1525,2.1225,1.36,3043.23,205260.5,103.2,48.6,8.5,516.1547169811321,34633.0,83726.0,138140.0,74450.0,38.021785,42.645005000000005,49.864555,2.9965918590444396,0.0,2.843091179698498,6.958536736158583,4.833208277997492,37.85866364665911,-58.957163089922695,1
2025-05-01,69.642,56.198,58.794,1.968,1.294,3089.74,207907.4,101.4,49.7,7.6,516.1547169811321,39546.0,90479.0,153190.0,79806.0,38.685355,43.656515,51.60913000000001,1.5283103807467668,0.0,1.745236316495924,2.3719307806388867,3.498627431850143,35.40504415277077,-59.46959426924758,1
2025-06-01,68.17,56.015,58.6575,1.885,1.1925,3132.17,212717.8,100.3,49.3,8.5,516.1547169811321,33569.0,74154.0,149897.0,63918.0,39.33922631578948,45.26236315789474,53.17913684210527,1.3732547075158585,0.0,1.6902295863369554,3.6783700162386745,3.042110653880936,35.04865713213958,0.0,1
2025-07-01,65.7425,53.79,56.63,1.8725,1.1525,3196.66,218099.8,100.2,46.83484848484849,10.525757575757577,516.1547169811321,43984.0,98874.0,117359.81818181818,82346.0,40.10610454545454,46.91346818181818,54.18573181818181,2.058955931510731,0.0,1.9493983524461411,3.6478542186665575,1.8928381238402237,33.52240925608789,0.0,1
2025-08-01,62.45,51.125,52.44,1.895,1.135,1362.5992537313434,83107.58208955223,103.65373134328357,46.83484848484849,10.525757575757577,516.1547169811321,37417.20895522388,82217.05970149254,117359.81818181818,72050.50746268657,40.62569230769231,47.15592307692308,54.36177692307692,-57.374282728493384,0.0,1.2955328574703495,0.5168129846321312,0.3248919946044593,-44.459420474482,0.0,1
